question,paragraph,link,doc_id
נכה נפשית מבקש סיוע בשכירות,"סיוע בדיור


שאלה

מה לעשות?

הערות

המשך טיפול


האם אושר לך סל שיקום?

אם כן, תוכל לקבל הפניה לאחת ממסגרות המגורים המוגנות בקהילה והשתתפות במימון הפעילות השיקומית בה. מסגרות אלו כוללות הוסטל או דיור מוגן.
בנוסף, אולי תהיה זכאי לסיוע ברכישת הציוד הראשוני עבור הדיור.


בכל אחת מהמסגרות קיימות דרגות שונות של ליווי על-ידי הצוות.



האם אתה מקבל קצבת נכות כללית ומוגדר כהגדרת חסרי דירה לסיוע בשכר דירה ולקבלת משכנתא?

כדאי לבדוק את זכאותך לסיוע בשכר דירה.



האם אתה מקבל הנחה בארנונה?

מומלץ לבדוק אם הרשות המקומית ביישוב שבו אתה מתגורר מעניקה הנחה בארנונה לנכים ומה גובה ההנחה.


תמיכה וסיוע למשפחות מתמודדי נפש


שאלה

מה לעשות?

הערות

המשך טיפול


האם אחד מבני המשפחה שלכם הוא מתמודד נפש?

אתם זכאים לשירותי ייעוץ ותמיכה ללא תשלום, וללא תלות בזכאות לסל שיקום או בהכרה של המוסד לביטוח לאומי.

תוכלו להיעזר גם בארגונים שמפורטים למטה.



האם בן המשפחה שאובחן כמתמודד נפש מתגורר עמכם בדירה?

בדקו את הזכאות לקבל את שירותי הסיוע הבאים:
חונך - מדריך שתפקידו לסייע בפיתוח כישורים חברתיים ומיצוי פעילויות פנאי.
סומך - מדריך שתפקידו לסייע בפיתוח כישורי ניהול משק בית כדוגמת עריכת קניות, הזמנת אנשי מקצוע, בישול וניקיון.

הסיוע מיועד למי שמתגורר בביתו או בבית אחר עם בני משפחתו (ולא במסגרת הוסטל או דיור מוגן) וזכאי זכאי לסל שיקום.



האם אתם או קרוביכם נפגעי טראומה על רקע לאומי (נפגעי פעולות איבה)?

תוכלו להיעזר בשירותי הסיוע, הייעוץ וההדרכה של נט""ל.

נט""ל מפעילה קו שמציע עזרה נפשית לנפגעי טראומה.



האם אתם או קרוביכם ניצולי שואה?

תוכלו לפנות אל קו הסיוע לניצולי שואה ובני משפחותיהם שמופעל ע""י ער""ן.


",https://www.kolzchut.org.il/he/מדריך_מיצוי_זכויות_למתמודדי_נפש_ובני_משפחותיהם,10087
התוויה נוספת לתרופת SELINCRO,"
התוויה רפואית היא השיוך של טיפול רפואי מסוים למצב רפואי מסוים


 
כשתרופה מסוימת נכללת בסל שירותי הבריאות (/he/תרופות_בסל_הבריאות), היא נכללת בו לשם שימוש בהתוויות הקבועות בו בלבד


 
מבוטח אינו זכאי לתרופה שנכללת בסל הבריאות בהתוויה שונה מזו שקבועה בסל


 
עם זאת, במקרים ותנאים מסוימים ניתן להגיש בקשה לקבלת תרופה בהתוויה שונה מזו שקבועה בסל
התוויה רפואית היא השיוך של טיפול רפואי מסוים (כולל טיפול תרופתי, רפואי או תזונתי) למצב רפואי מסוים.

תרופות וטיפולים נכללים בסל שירותי הבריאות לצורך שימוש במצבים רפואיים מסוימים בלבד ובהתקיים תנאים רפואיים מסוימים.
התוויה היא שיוך התרופה או הטיפול למצב רפואי מסוים (הקריטריונים לקביעה האם התרופה או הטיפול מתאימים למצב הרפואי).
כשתרופה נכללת בסל שירותי הבריאות היא נכללת בו לשם שימוש בהתוויות הקבועות בו בלבד. לפיכך, מבוטח אינו זכאי לתרופה הנכללת בסל הבריאות בהתוויה השונה מזו הקבועה בסל.
ישנם שני סוגים של התוויות רפואיות:

התוויה יחסית - ניתן לנקוט בטיפול הרפואי בנסיבות מסוימות.
התוויה מוחלטת - חובה לנקוט בטיפול הרפואי.
במקרים ותנאים מסוימים, ניתן להגיש בקשה לקבלת אישור לתרופה לשימוש שונה מזה שהותווה לה בסל. למידע נוסף ראו באתר משרד הבריאות (תכשירי 29 הומני).
",https://www.kolzchut.org.il/he/התוויה_רפואית,4609
"האם עובד יכול לתבוע מעסיק בגין שכר העבודה שמגיע לו מן התקפה שלפני שמעסיקו פשט רגל ולאחר שהליך הפש""ר הסתיים?","תשלום שכר עבודה ופיצויי פיטורים
 שכר עבודה
תשלום שכר העבודה שלא שולם על ידי המעסיק יהיה עבור תקופה של עד 12 חודשים.
גובה התשלום לא יפחת מסכום שכר מינימום ובהתאם להיקף משרתו של העובד.
לתשלום יתווספו הפרשי הצמדה מיום קבלת תביעת החוב עד למועד התשלום בפועל על ידי הביטוח הלאומי.
רכיבי השכר שנלקחים בחשבון לצורך תשלום שכר העבודה (יש להוכיח שרכיבים אלו אכן שולמו לעובד):

רכיבי שכר נוספים שמופיעים בתלוש יילקחו בחשבון אם הם עונים על הגדרת ""שכר עבודה"" בחוק הגנת השכר.
רכיבי השכר שלא נלקחים בחשבון לצורך תשלום שכר העבודה:

משכורת בסיסית
שעות נוספות
פרמיה
עמלות
מענקים
תוספת מאמץ
הוצאות נסיעה
תוספת מחלקתית ותוספת מקצועית
הפרשי שכר שלא שולמו לעובד בעבור השנה האחרונה לעבודתו
פדיון ימי חופשה שנותרו לזכותו של העובד ואשר מופיעים בתלוש השכר האחרון (עד למקסימום שניתן לצבור לפי חוק חופשה שנתית)
דמי הבראה שטרם שולמו לעובד עבור השנתיים האחרונות לעבודתו
ביגוד - החלק שלא שולם לעובד עבור השנה האחרונה לעבודתו
משכורת 13 - החלק שלא שולם לעובד עבור השנה האחרונה לעבודתו
החזר הוצאות רכב
טלפון
אש""ל
פדיון ימי מחלה
",https://www.kolzchut.org.il/he/פיצויים_לעובדים_במקרה_של_חדלות_פירעון_%28פשיטת_רגל%29_של_המעסיק_אחרי_15.09.2019,16074
כמה ימי חופשה מגיעים לי לאחר סוף שירות המילואים?,"
מדריך זה מרכז מידע על הסיוע, הזכויות וההטבות שזכאים להם מי שמשתחררים משירות מילואים במלחמת חרבות ברזל


 
לרשימת שאלות ותשובות בעקבות המלחמה היכנסו לשאלות ותשובות למי שמשרתים במילואים במהלך מלחמת חרבות ברזל (/he/שאלות_ותשובות_למי_שמשרתים_במילואים_במהלך_מלחמת_חרבות_ברזל)
במהלך מלחמת חרבות ברזל גויסו רבים לשירות מילואים ונאלצו לעזוב את משפחותיהם, עבודתם ואת בתי העסק שלהם.
כעת, עם השחרור משירות המילואים ריכזנו בדף זה מידע על הסיוע, ההקלות וההטבות שזכאים להם מי ששירתו במילואים - 
סיוע רגשי ונפשי, מענקים כספיים, הקלות וזכויות בלימודים, במקום העבודה ובניהול העסק, הקלות בבנקים, ועוד.


הקלות לעצמאים ובעלי עסקים
פיצוי על הפסדים שנגרמו לעסקים
בעלי עסקים זכאים לפיצוי על ההפסדים שנגרמו להם עקב המלחמה.
סכום הפיצויים ומסלולי הפיצויים משתנים לפי מיקום העסק, מקום המגורים של בעל העסק או עובדיו, סוג העסק וגודלו:

מי שזכאים לפיצוי או למענק לפי יותר ממתווה אחד יכולים לבחור את המתווה או המענק המועדף עליהם לפי רצונם.
בעלי עסקים רשאים לבחור במתווה פיצויים אחד בלבד, למעט במקרים מיוחדים.
למידע מפורט על הפיצויים השונים ראו המדריך לעצמאים ובעלי עסקים בתקופת מלחמת חרבות ברזל.
פיצויים לכל העסקים בארץ (מענק המשכיות עסקית)
פיצויים לעסקים ב""אזור המיוחד""
פיצויים לבעלי עסקים שהם או עובדיהם מתגוררים ביישוב שהתפנה על-פי החלטת הממשלה
פיצויים לעסקים ביישובי ספר
",https://www.kolzchut.org.il/he/מדריך_למשתחררים_משירות_מילואים_במלחמת_חרבות_ברזל,21486
פעולות נלוות של הפסקת היריון אצל קטינות.,"מי זכאי?
בדיקה לגילוי נגיף ה-HIV
במקרים מסוימים, קטין רשאי לבצע בדיקת דם לגילוי נגיף ה-HIV גם ללא ידיעת הוריו וללא הסכמתם.

לבקשת עובד סוציאלי, בית-המשפט לנוער רשאי להורות למסור תוצאת בדיקה חיובית (המעידה על נוכחות נגיף ה-HIV בדם) גם להוריו של הקטין, על-אף התנגדותו.
למידע נוסף ראו בדיקה לגילוי HIV (איידס) אצל קטין ללא הסכמת הוריו.
קטין שמלאו לו 14 שנה רשאי לבצע בדיקת דם לגילוי נגיף ה-HIV באחד מהמרכזים שהוכרו לעניין זה על ידי שר הבריאות. הבדיקה מצריכה אישור מרופא באותו מוסד רפואי.
אם עדיין לא מלאו לקטין 14 שנה, נדרש אישור של רופא ושל עובד סוציאלי לצורך ביצוע הבדיקה.
מי זכאי?
אשפוז פסיכיאטרי
קטין מגיל 15 ומעלה:

קטין מתחת לגיל 15:

למידע נוסף ראו אשפוז מרצון של קטין מתמודד נפש.
הקטין רשאי לסרב לאשפוז פסיכיאטרי שדורשים הוריו (או האפוטרופוס שלו), ובמקרה זה ניתן יהיה לאשפז אותו רק  לפי צו של בית משפט לנוער.
הקטין רשאי לבקש להתאשפז באשפוז פסיכיאטרי, ואם הוריו או האפוטרופוס שלו אינם מתנגדים, הוא יאושפז. במקרה של התנגדות, על הקטין לפנות לבית משפט לנוער לצורך האשפוז. למידע נוסף ראו אשפוז פסיכיאטרי בהסכמת הקטין בלבד.
הקטין אינו יכול לבקש להתאשפז מרצונו.
הקטין רשאי לסרב לבקשה של הוריו או האפוטרופוס שלו לאשפז אותו במחלקה פסיכיאטרית או בבית חולים פסיכיאטרי, ובמקרה כזה יועבר הענין לוועדה פסיכיאטרית מחוזית לילדים ולנוער, שתחליט אם לאשר את האשפוז.
",https://www.kolzchut.org.il/he/בדיקות_וטיפולים_רפואיים_שקטין_רשאי_להחליט_לגביהם,3547
תן לי רשימה של תנאים האם אני זכאי לסיוע בשכר דירה אני אברך ואישתי מורה לחינוך מיוחד הריון חודש חמישי,"
הזכאות לסיוע בשכר דירה (/he/זכאות_לסיוע_בשכר_דירה) מותנית בכך שהדירה המושכרת עונה על התנאים שיפורטו בדף זה


 
לשם קבלת הסיוע יש להוציא תעודת זכאות (/he/הוצאת_תעודת_זכאות_לסיוע_בשכר_דירה) מטעם משרד הבינוי והשיכון


 
למידע נוסף, ראו באתר משרד הבינוי והשיכון (https://www.gov.il/he/departments/guides/rental_assistance_step_by_step?chapterIndex=2)
קבלת סיוע בשכר דירה מותנית בכך שהדירה המושכרת לזכאים לסיוע עונה על כל התנאים הבאים:

הדירה נמצאת ביישוב שניתן לקבל בו סיוע בשכר דירה.
מדובר על דירה או חלק מדירה במבנה קבע או חדר בבית מלון.
במקרה של שכירת מבנה זמני (כגון קרוואן) יש להציג היתר בנייה כדין.
הדירה לא מושכרת מקרובים של מבקשי הסיוע שהם:

עם זאת, מי ששכרו דירה מאח או מאחות והחלו לקבל עבורה סיוע בשכר דירה לפני ינואר 2014, יוכלו להמשיך לקבל את הסיוע אם הם עדיין שוכרים את אותה דירה (ברציפות).
בני זוגם או הידועים בציבור של מבקשי הסיוע.
בני זוגם לשעבר או הידועים בציבור לשעבר של מבקשי הסיוע.
הוריהם (אב/אם ובני זוגם) של מבקשי הסיוע.
ילדיהם (בן/בת) ובני זוגם (חתן/כלה) של מבקשי הסיוע.
אחיהם ואחיותיהם של מבקשי הסיוע.

גורמים מסייעים
מוקדים ממשלתיים
שם: משרד הבינוי והשיכון - מוקד סיוע בדיור 
אתר:    אתר
דוא""ל: 
טלפוןטל': *5442
גורמים מסייעים
מוקדים ממשלתיים
שם: מוקד סיוע במשכנתא לקשישים ולאנשים עם מוגבלות 
אתר:    אתר
דוא""ל: דוא""ל
טלפוןטל': *2310
גורמים מסייעים
מוקדים ממשלתיים
שם:  הרשות לרישום והסדר זכויות מקרקעין (טאבו)
אתר:    אתר
דוא""ל: דוא""ל
טלפוןטל': *8653",https://www.kolzchut.org.il/he/דירות_שניתן_לקבל_עבורן_סיוע_בשכר_דירה,2613
"לא מצליח להבין אין מקבלים את ההנחה על,טסט למשרתי המילויאם","
מי זכאי?
כל משרת מילואים פעיל.
ההנחה ניתנת עבור רכב אחד בלבד בבעלות פרטית (שאינה ליסינג, עסקית וכו'), גם אם הבעלות משותפת עם בן/בת הזוג.
מי שבבעלותם יותר מרכב אחד, יקבלו את ההנחה עבור הרכב הראשון שאגרת הרישוי השנתית שלו מתחדשת בשנת הזכאות שמתחילה ב-1 במאי או ב-1 בנובמבר.

משך הזכאות
הזכאות תקפה למשך 3 שנים החל מ-1 במאי או 1 בנובמבר של השנה העוקבת לשנה שבה הושלמה צבירת ימי המילואים שמזכים בתעודת משרת מילואים פעיל.
חייל מילואים שביצע 15 ימי שמ""פ בשנת 2021 (וזכאי לתגמול נוסף בשווי של נקודת זיכוי אחת).
הוא יהיה זכאי להנחה בתשלום האגרה החל מ-01.05.2022 ולמשך 3 שנים, עד ל-01.05.2025.

תהליך מימוש הזכות
רשימת חיילי המילואים שזכאים להנחה נקבעת על ידי צה""ל ונשלחת למשרד התחבורה פעם בשנה.
זכאים שהרכב רשום על שם בן/בת זוגם יכולים להוסיף את עצמם כשותפים לרישיון הרכב.
בזמן תשלום האגרה ההנחה מחושבת לזכאים באופן אוטומטי.
אם הזכאות להנחה לא מצוינת על טופס התשלום לחידוש רישיון הרכב, יש לפנות למוקד המילואים של צה""ל בטלפון 1111 שלוחה 4.
אם הרכב המזכה עבר אירוע (גניבה, ""אובדן גמור"" עקב תאונה, מכירה, או כל סיבה אחרת) ויש בבעלות של הזכאי רכב אחר, יש להודיע על השינוי כדי לקבל את ההנחה.
מי שמעוניינים לשנות את מספר הרכב כדי לקבל הנחה על רכב אחר יפנו באופן מקוון (בנושא רישיון רכב).
לבירורים ניתן לפנות למוקד המילואים של צה""ל בטלפון 1111 שלוחה 4.
זכאים שרכשו רכב ישירות מהיבואן יפנו למוקד המילואים לצורך הטיפול בהחזר.
",https://www.kolzchut.org.il/he/הנחה_לחיילי_מילואים_באגרת_רישוי_רכב_שנתית_%28טסט%29,7926
"ילדת אומנה עם הליכון שהיה להורים שלה תג חניה בגללה, גם הורי האומנה יכולים לקבל עבורה?","גמלת ילד נכה והטבות נלוות
תהליך מימוש הזכות
אם ילד קיבל גמלת ילד נכה לפני השמתו באומנה, משרד הרווחה יודיע למוסד לביטוח לאומי על ההשמה והורה האומנה יתחיל לקבל את הגמלה ב-1 בחודש אחרי שההודעה תתקבל.
אם ילד שיש לו מוגבלות או מחלה קשה לא קיבל גמלת ילד נכה לפני השמתו באומנה, הורה האומנה יהיה רשאי להגיש תביעה לגמלת ילד נכה. יש לצרף לתביעה אישור של מנחה האומנה.

על הורה האומנה ליידע את הורי הילד מראש (ישירות או באמצעות מנחה האומנה) על כוונתו להגיש את התביעה.
אם התביעה תאושר, הגמלה תשולם להורה האומנה לתקופה שמתחילה ב-1 בחודש שבו הילד הושם אצל משפחת האומנה (אך לא לפני 01.06.2024). זאת בתנאי שבמועד הגשת התביעה הילד שהה אצל אותה משפחה לפחות חודש.

זכויות נוספות
עובדים שהם הורי אומנה לילד/ה עם מוגבלות זכאים, בהתאם לתנאים, להיעדר בתשלום מהעבודה לצורך סיוע אישי לילד/ה. למידע נוסף ראו ימי מחלה לצורך סיוע אישי של הורה לאדם עם מוגבלות.
ילדים עם מוגבלות שמתגוררים אצל משפחת אומנה זכאים לצאת לנופשונים מסובסדים בכל ימות השנה. למידע נוסף ראו:

אם הילדים מתקשים בהליכה או שתנועתם ללא רכב עלולה לערער את מצב בריאותם, הורי האומנה עשויים לקבל תג חניה לנכה.
נופשונים לילדים ובוגרים עם מוגבלות המתגוררים בבית הוריהם
נופשון הקלה - אירוח לילדים ובני נוער עם צרכים מיוחדים

חשוב לדעת
תשלום גמלת ילד נכה להורה האומנה יסתיים ב-1 בחודש אחרי היום שבו הסתיימה אומנת הילד אצל אותה משפחה.

גורמים מסייעים
מוקדים ממשלתיים
שם: מענה ממשלתי מרכזי 
אתר:    אתר
דוא""ל: דוא""ל
טלפוןטל': 1299
גורמים מסייעים
מוקדים ממשלתיים
שם: ביטוח לאומי 
אתר:    אתר
דוא""ל: 
טלפוןטל': *6050",https://www.kolzchut.org.il/he/הטבות_לילד_עם_מוגבלות_%28ילד_נכה%29_במשפחת_אומנה,13562
מס רכישה מופחת,"
פורטל זה מרכז מידע בנוגע למס הרכישה, ולמקרים שבהם ניתן לקבל פטור או הנחה בתשלום המס.
מס רכישה (/he/חישוב_מס_רכישה) הוא מס המשולם למדינה על-ידי הרוכש של זכות במקרקעין (/he/זכות_במקרקעין).
מידע כללי
חישוב מס רכישה
קנס על מס רכישה
זכות במקרקעין
פטור ממס רכישה בהעברת זכויות בדירת מגורים לבן זוג

הנחות לאנשים עם מוגבלות
הנחה במס רכישה לנכים
הנחה במס רכישה לעיוורים ולקויי ראייה
הנחה במס רכישה לילדים עם נכות בשיעור של 100%
הנחה במס רכישה לניצולי שואה ונכי המלחמה בנאצים
הנחה בתשלום מס רכישה לניצולי שואה המקבלים קצבת בריאות מגרמניה (B.E.G)
הנחה במס רכישה לנכי עבודה
הנחה במס רכישה לנכי צה""ל וכוחות הביטחון
הנחה במס רכישה לנכי תאונות דרכים
הנחה במס רכישה לנפגע פעולת איבה

הנחות לאוכלוסיות שונות
הנחה במס רכישה לעולים
הנחה במס רכישה לבני משפחות שכולות
הנחה במס רכישה לבני משפחה של חלל פעולת איבה
הנחה במס רכישה לבני משפחה של הרוגי מלכות

הליכים
החזר מס בגין תשלום עודף של מס שבח או מס רכישה
שומת מס רכישה
הצהרה על מכירה או רכישה של זכות במקרקעין
תשלום מס רכישה
ביטול עסקה לרכישת מקרקעין
ועדה רפואית להנחה במס רכישה

גורמים מסייעים
מוקדים ממשלתיים
שם: רשות המיסים 
אתר:    אתר
דוא""ל: פניה מקוונת
טלפוןטל': *4954
גורמים מסייעים
מוקדים ממשלתיים
שם: מס רכוש 
אתר:    אתר
דוא""ל: 
טלפוןטל': *4954
גורמים מסייעים
מוקדים ממשלתיים
שם: שי""ל 
אתר:    אתר
דוא""ל: פניה מקוונת
טלפוןטל': 118
גורמים מסייעים
מוקדים ממשלתיים
שם: מענה ממשלתי מרכזי 
אתר:    אתר
דוא""ל: דוא""ל
טלפוןטל': 1299
מוקדים ממשלתיים
שם: רשות המיסים 
טלפון: *4954
מוקדים ממשלתיים
שם: מס רכוש 
טלפון: *4954
מוקדים ממשלתיים
שם: שי""ל 
טלפון: 118",https://www.kolzchut.org.il/he/מס_רכישה,4571
"אני הבנתי שאם אמבולנס לקח מישהו משטח ציבורי אין חיוב למד""א (כמו הזמנת מכבדי אש במקום צבורי) האם זה נכון?
","מי זכאי?
מימון מלא של עלויות הפינוי
מבוטחים שפונו ואושפזו בבית החולים זכאים למימון מלא של הוצאות הפינוי על-ידי קופת החולים בה הם מבוטחים.
מבוטחים שהועברו ממיון בבית חולים אחד להמשך טיפול בבית חולים אחר זכאים למימון מלא של הוצאות הפינוי על-ידי קופת החולים שבה הם מבוטחים.
מבוטחים שהועברו מבית חולים אחד לאחר זכאים למימון מלא של הוצאות הפינוי על-ידי ביה""ח המפנה (אלא אם הועברו למוסד סיעודי).
מבוטחים שהועברו מבית החולים למסגרת שיקום או סיעוד מורכב זכאים למימון מלא של הוצאות הפינוי על-ידי קופת החולים שבה הם מבוטחים.
מבוטחים שנמצאים בהכרה מעורפלת עם חשד לתקיפה מינית שמוסעים באמבולנס למרכז אקוטי לתקיפה מינית זכאים להחזר מלא של הוצאות הפינוי.
מבוטחים שהוסעו לבית חולים בניידת טיפול נמרץ או באמבולנס ונפטרו לפני שאושפזו, יתקבל החזר מלא של הוצאות הפינוי עד לסכום האגרה שקבועה בתקנות.
מי זכאי?
מימון חלקי של עלויות הפינוי
מבוטחים שפונו באמבולנס טיפול נמרץ (אט""ן) או בניידת טיפול נמרץ (נט""ן) ולא אושפזו בבית החולים זכאים למימון 50% מהוצאות הפינוי על ידי קופת החולים בה הם מבוטחים.
מבוטחים שמלאו להם 80 שנים וזכאים לגמלת סיעוד ולגמלת הבטחת הכנסה שמוסעים לבית חולים בניידת טיפול נמרץ או באמבולנס, זכאים להחזר של 50% מהוצאות הפינוי, עד לסכום ששווה ל־50% מהאגרה שקבועה בתקנות.
חלק מקופות החולים מעניקות הטבות מעבר לזכאות הבסיסית (ראו פרטים באתר ""כל הבריאות""). מומלץ לפנות לקופת החולים, בכל מקרה, לשם ברור היקף הזכאות.
",https://www.kolzchut.org.il/he/מימון_עלויות_פינוי_באמבולנס,2844
